task_id,query
T1,Analyze EV market opportunities in Europe
T2,Assess risks associated with next-generation EV battery supply chains
T3,Evaluate AI adoption opportunities in healthcare organizations
T4,Assess cloud migration risks for a healthcare provider
T5,Analyze renewable energy investment opportunities in emerging markets
T6,Evaluate industrial robotics deployment in manufacturing facilities
T7,Assess cybersecurity threats facing connected and autonomous vehicles
T8,Analyze fintech expansion opportunities in Southeast Asia
T9,Evaluate supply chain vulnerabilities in semiconductor manufacturing
T10,Develop a sustainable manufacturing strategy for a multinational company
